Name,Date,Type,Platform,Text,Status
Thread 2,2026-02-16,thread,X/Twitter,"Mein System in kurz: Rollen-Setup in der Content Factory. / Viele Threads scheitern am ersten Tweet. / Hook-First zwingt dich zu Klarheit. / Sammle 30 Hooks, teste 10, behalte 3. / Erst dann baust du den Rest des Threads. / Prinzip: Sprich ueber die Interessen deines Gegenuebers. / These: Beharrlichkeit schlaegt Talent. / CTA: Schreib AGENTS fuer das Prompt-Pack.",Scheduled
Prompt 31,2026-02-16,prompt,X/Twitter,"Baue 5 Content-Titel fuer Solo-Creator. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Monetarisierungs-Funnel.",Scheduled
Prompt 32,2026-02-16,prompt,X/Twitter,"Erstelle eine Liste von 10 Content-Ideen fuer SaaS Founder. Verwende Pro/Contra. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Scheduled
Prompt 33,2026-02-16,prompt,X/Twitter,Erstelle 9 DM-Templates fuer SaaS Founder. Nutze Pro/Contra und halte jede Ausgabe unter 16 Woertern. Kontext: Content Factory. Gib die Ausgabe nummeriert aus.,Scheduled
Tweet 12,2026-02-17,tweet,X/Twitter,"Die Formel: Output-Funnels statt Einmal-Posts + Flow: Hook -> Draft -> Refine -> Publish = 400 Premium-Prompts. Ergebnis: wiederholbare Ergebnisse statt Zufall. Ein klares Ziel vor Augen schafft Zugkraft. Qualitaet kommt vom Review, nicht vom Zufall.",Scheduled
Prompt 34,2026-02-17,prompt,X/Twitter,Erstelle 12 CTA-Ideen fuer Solo-Creator. Nutze Checkliste und halte jede Ausgabe unter 16 Woertern. Kontext: Mastermind-Plan. Gib die Ausgabe nummeriert aus.,Scheduled
Prompt 35,2026-02-17,prompt,X/Twitter,"Erstelle eine Liste von 7 Tweet-Varianten fuer SaaS Founder. Verwende Schritt-fuer-Schritt. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Scheduled
Prompt 36,2026-02-17,prompt,X/Twitter,Analysiere Content Factory und generiere 9 Lead-Magnet-Ideen. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Scheduled
Tweet 13,2026-02-18,tweet,X/Twitter,"12 Agenten parallel liefern eine klare Content-Routine. Der Hebel: harte Wortlimits. Batching: 30 Hooks, dann 30 Drafts. Ergebnis: saubere Struktur ohne Ueberforderung. Funnel: Lead Magnet -> Tripwire -> Core Offer -> High Ticket -> Retainer.",Scheduled
Prompt 37,2026-02-18,prompt,X/Twitter,"Baue 7 Offer-Statements fuer B2B Marketer. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Mastermind-Plan.",Scheduled
Prompt 38,2026-02-18,prompt,X/Twitter,Analysiere Hook-Datenbank und generiere 7 DM-Templates. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Scheduled
Prompt 39,2026-02-18,prompt,X/Twitter,"Erstelle 7 Objection-Replies fuer Berater und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Thread System.",Scheduled
Tweet 14,2026-02-19,tweet,X/Twitter,"Nicht mehr brainstormen, sondern produzieren: Flow: Orchestrator -> Ideation -> Writer -> Refiner. Output: 30 getestete Hooks pro Woche mit 16 Agenten. Mastermind-Denken multipliziert Ergebnisse. Du brauchst Klarheit, nicht mehr Disziplin.",Scheduled
Prompt 40,2026-02-19,prompt,X/Twitter,"Erstelle 5 Offer-Statements fuer SaaS Founder und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Content Factory.",Scheduled
Prompt 41,2026-02-19,prompt,X/Twitter,"Baue 9 DM-Templates fuer Solo-Creator. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Thread System.",Scheduled
Prompt 42,2026-02-19,prompt,X/Twitter,Analysiere Tweet Engine und generiere 12 High-Ticket-Argumente. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Scheduled
Tweet 15,2026-02-20,tweet,X/Twitter,"Nicht mehr brainstormen, sondern produzieren: Batching: 30 Hooks, dann 30 Drafts. Output: eine konstante Pipeline ohne Burnout mit 16 Agenten. Der Wunsch nach Erfolg braucht ein definites Ziel. Wenn du das System willst: antworte mit AGENTS.",Scheduled
Prompt 43,2026-02-20,prompt,X/Twitter,"Baue 10 Thread-Outlines fuer SaaS Founder. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Mastermind-Plan.",Scheduled
Prompt 44,2026-02-20,prompt,X/Twitter,"Erstelle 10 CTA-Ideen fuer B2B Marketer und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Prompt Pack.",Scheduled
Prompt 45,2026-02-20,prompt,X/Twitter,"Baue 7 Content-Ideen fuer SaaS Founder. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Thread System.",Scheduled
Tweet 16,2026-02-21,tweet,X/Twitter,"Kosten runter, Output hoch: Output-Funnels statt Einmal-Posts. Ergebnis: eine Content-Bibliothek fuer 90 Tage. Stabile Reichweite durch Konstanz. Keine Ausreden, nur Handlung. Einmal gebaut, laeuft der Prozess jeden Monat.",Scheduled
Prompt 46,2026-02-21,prompt,X/Twitter,Erstelle 9 High-Ticket-Argumente fuer Solo-Creator. Nutze Framework und halte jede Ausgabe unter 16 Woertern. Kontext: Mastermind-Plan. Gib die Ausgabe nummeriert aus.,Scheduled
Prompt 47,2026-02-21,prompt,X/Twitter,"Erstelle 5 Thread-Outlines fuer B2B Marketer und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Mastermind-Plan.",Scheduled
Prompt 48,2026-02-21,prompt,X/Twitter,Erstelle 5 Thread-Outlines fuer Berater. Nutze Schritt-fuer-Schritt und halte jede Ausgabe unter 16 Woertern. Kontext: Thread System. Gib die Ausgabe nummeriert aus.,Scheduled
Tweet 17,2026-02-22,tweet,X/Twitter,Ohne System bleibt es Zufall. Planbar wird es durch Hook-First statt Content-First: eine klare Content-Routine. Rhythmus: 1 Batch pro Woche. Ein klares Ziel vor Augen schafft Zugkraft. Fang mit 10 Agenten an und skaliere dann.,Scheduled
Prompt 49,2026-02-22,prompt,X/Twitter,Analysiere Tweet Engine und generiere 10 Tweet-Varianten. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Scheduled
Prompt 50,2026-02-22,prompt,X/Twitter,Analysiere Hook-Datenbank und generiere 9 CTA-Ideen. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Scheduled
Prompt 51,2026-02-22,prompt,X/Twitter,"Erstelle eine Liste von 7 CTA-Ideen fuer Berater. Verwende Pro/Contra. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Scheduled
Tweet 18,2026-02-23,tweet,X/Twitter,"Der groesste Fehler: einen Agenten alles machen zu lassen. Fix: Stichproben-Review einbauen. So entstehen 400 Premium-Prompts mit 16 Agenten. Verlange fuer Ergebnis, nicht fuer Zeit. Ein Batch pro Woche reicht fuer 7 Tage Output.",Scheduled
Thread 3,2026-02-23,thread,X/Twitter,"Warum Hook-First Prozess dein groesster Hebel ist. / Wenn du Output willst, brauchst du Batching. / 30 Hooks -> 30 Drafts -> 30 gekuerzte Versionen. / Die Rollen bleiben strikt getrennt. / Kleine Modelle fuer Masse, Mid-Modelle fuer Schliff. / Haltung: Keine Ausreden, nur Handlung. / Funnel: Lead Magnet -> Tripwire -> Core Offer -> High Ticket. / CTA: Schreib AGENTS fuer das Prompt-Pack.",Scheduled
Prompt 52,2026-02-23,prompt,X/Twitter,Erstelle 12 Tweet-Varianten fuer Coaches. Nutze Checkliste und halte jede Ausgabe unter 16 Woertern. Kontext: Thread System. Gib die Ausgabe nummeriert aus.,Scheduled
Prompt 53,2026-02-23,prompt,X/Twitter,Du bist ein Content-Strategist. Liefere 7 Content-Ideen im Stil Schritt-fuer-Schritt. Zielgruppe: Agenturen. Thema: Monetarisierungs-Funnel. Jede Ausgabe muss einen klaren Nutzen enthalten.,Scheduled
Prompt 54,2026-02-23,prompt,X/Twitter,Analysiere Thread System und generiere 10 Tweet-Varianten. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Scheduled
Tweet 19,2026-02-24,tweet,X/Twitter,"Nicht mehr brainstormen, sondern produzieren: Rhythmus: 1 Batch pro Woche. Output: 300 Tweets pro Woche mit 16 Agenten. Triff eine klare Entscheidung und bleib dran. 30 Hooks in 60 Minuten sind realistisch. Ohne Struktur bleibt Output Zufall.",Scheduled
Prompt 55,2026-02-24,prompt,X/Twitter,"Erstelle 9 Lead-Magnet-Ideen fuer Solo-Creator und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: AI-Agenten Workflow.",Scheduled
Prompt 56,2026-02-24,prompt,X/Twitter,"Baue 10 Use-Cases fuer SaaS Founder. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Prompt Pack.",Scheduled
Prompt 57,2026-02-24,prompt,X/Twitter,Erstelle 7 CTA-Ideen fuer Coaches. Nutze Pro/Contra und halte jede Ausgabe unter 16 Woertern. Kontext: Content Factory. Gib die Ausgabe nummeriert aus.,Scheduled
Tweet 20,2026-02-25,tweet,X/Twitter,"Die Formel: eine Ideenmaschine vor der Schreibmaschine + Flow: Hook -> Draft -> Refine -> Publish = eine klare Content-Routine. Ergebnis: klare Prozesse statt Chaos. Monetarisierung heisst: klares Offer, klares Versprechen.",Scheduled
Prompt 58,2026-02-25,prompt,X/Twitter,Erstelle 10 Offer-Statements fuer SaaS Founder. Nutze Pro/Contra und halte jede Ausgabe unter 24 Woertern. Kontext: Creator Stack. Gib die Ausgabe nummeriert aus.,Scheduled
Prompt 59,2026-02-25,prompt,X/Twitter,Du bist ein Content-Strategist. Liefere 5 Use-Cases im Stil Checkliste. Zielgruppe: Solo-Creator. Thema: Hook-Datenbank. Jede Ausgabe muss einen klaren Nutzen enthalten.,Scheduled
Prompt 60,2026-02-25,prompt,X/Twitter,Analysiere Mastermind-Plan und generiere 10 Pricing-Optionen. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Scheduled
Tweet 21,2026-02-26,tweet,X/Twitter,"Parallelisierung ist der Cheatcode: 12 Agenten, eine klare Content-Routine, wiederholbare Ergebnisse statt Zufall. Weg: Flow: Hook -> Draft -> Refine -> Publish. Du bist verantwortlich. Qualitaet kommt vom Review, nicht vom Zufall.",Scheduled
Prompt 61,2026-02-26,prompt,X/Twitter,"Baue 5 Objection-Replies fuer SaaS Founder. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Content Factory.",Scheduled
Prompt 62,2026-02-26,prompt,X/Twitter,"Erstelle 12 High-Ticket-Argumente fuer B2B Marketer und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Mastermind-Plan.",Scheduled
Prompt 63,2026-02-26,prompt,X/Twitter,"Erstelle 5 Hooks fuer Agenturen und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Creator Stack.",Scheduled
Tweet 22,2026-02-27,tweet,X/Twitter,"Du brauchst keine 10x Kreativitaet, sondern eine Ideenmaschine vor der Schreibmaschine. Damit lieferst du 400 Premium-Prompts. Mastermind-Denken multipliziert Ergebnisse. Du brauchst Klarheit, nicht mehr Disziplin. Schreib AGENTS fuer das Prompt-Pack.",Scheduled
Prompt 64,2026-02-27,prompt,X/Twitter,Du bist ein Content-Strategist. Liefere 12 Lead-Magnet-Ideen im Stil Framework. Zielgruppe: Agenturen. Thema: Mastermind-Plan. Jede Ausgabe muss einen klaren Nutzen enthalten.,Scheduled
Prompt 65,2026-02-27,prompt,X/Twitter,Analysiere Monetarisierungs-Funnel und generiere 5 High-Ticket-Argumente. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Scheduled
Prompt 66,2026-02-27,prompt,X/Twitter,"Baue 5 Content-Titel fuer Coaches. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Mastermind-Plan.",Scheduled
Tweet 23,2026-02-28,tweet,X/Twitter,Der groesste Fehler: einen Agenten alles machen zu lassen. Fix: Output-Formate fixieren. So entstehen 400 Premium-Prompts mit 12 Agenten. Triff eine klare Entscheidung und bleib dran. Kopiere den Flow und teste eine Woche.,Scheduled
Prompt 67,2026-02-28,prompt,X/Twitter,"Erstelle 12 DM-Templates fuer B2B Marketer und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Mastermind-Plan.",Scheduled
Prompt 68,2026-02-28,prompt,X/Twitter,"Erstelle 12 Hooks fuer Agenturen und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Tweet Engine.",Scheduled
Prompt 69,2026-02-28,prompt,X/Twitter,Du bist ein Content-Strategist. Liefere 9 DM-Templates im Stil Schritt-fuer-Schritt. Zielgruppe: Agenturen. Thema: AI-Agenten Workflow. Jede Ausgabe muss einen klaren Nutzen enthalten.,Scheduled
Tweet 24,2026-03-01,tweet,X/Twitter,"Parallelisierung ist der Cheatcode: 20 Agenten, eine klare Content-Routine, mehr Output bei weniger Kopfschmerz. Weg: Flow: Orchestrator -> Ideation -> Writer -> Refiner. Handlung vor Ausrede. Kopiere den Flow und teste eine Woche.",Scheduled
Prompt 70,2026-03-01,prompt,X/Twitter,"Erstelle eine Liste von 7 CTA-Ideen fuer Solo-Creator. Verwende Template. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Scheduled
Prompt 71,2026-03-01,prompt,X/Twitter,Du bist ein Content-Strategist. Liefere 12 Use-Cases im Stil Beispiel + Analyse. Zielgruppe: Agenturen. Thema: Monetarisierungs-Funnel. Jede Ausgabe muss einen klaren Nutzen enthalten.,Scheduled
Prompt 72,2026-03-01,prompt,X/Twitter,Du bist ein Content-Strategist. Liefere 5 Lead-Magnet-Ideen im Stil Schritt-fuer-Schritt. Zielgruppe: SaaS Founder. Thema: AI-Agenten Workflow. Jede Ausgabe muss einen klaren Nutzen enthalten.,Scheduled
Tweet 25,2026-03-02,tweet,X/Twitter,"Kosten runter, Output hoch: kleine Modelle fuer Masse und Mid-Modelle fuer Schliff. Ergebnis: 30 getestete Hooks pro Woche. Schnelleres Testing von Hooks. Funnel: Lead Magnet -> Tripwire -> Core Offer -> High Ticket -> Retainer.",Scheduled
Thread 4,2026-03-02,thread,X/Twitter,Der schnellste Weg zu mehr Output: Wortlimits als Quality Gate. / Prinzip: Sprich ueber die Interessen deines Gegenuebers. / These: Beharrlichkeit schlaegt Talent. / Haltung: Du bist verantwortlich. / Framework: Orchestrator -> Ideation -> Writer -> Refiner. / Schritt 1: Sammle 30 Hooks in 1 Session. / Schritt 2: Schreibe Drafts im Batch. / Schritt 3: Kuerze hart und pruefe Nutzen. / CTA: Willst du den Workflow? Schreib AGENTS.,Scheduled
Prompt 73,2026-03-02,prompt,X/Twitter,Analysiere Monetarisierungs-Funnel und generiere 5 Objection-Replies. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Scheduled
Prompt 74,2026-03-02,prompt,X/Twitter,Erstelle 12 High-Ticket-Argumente fuer Solo-Creator. Nutze Beispiel + Analyse und halte jede Ausgabe unter 24 Woertern. Kontext: Thread System. Gib die Ausgabe nummeriert aus.,Scheduled
Prompt 75,2026-03-02,prompt,X/Twitter,Analysiere Mastermind-Plan und generiere 12 Content-Titel. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Scheduled
Tweet 26,2026-03-03,tweet,X/Twitter,"Ohne System bleibt es Zufall. Planbar wird es durch Hook-First statt Content-First: 30 getestete Hooks pro Woche. Flow: Orchestrator -> Ideation -> Writer -> Refiner. Mastermind-Denken multipliziert Ergebnisse. Wenn du 10 Hooks testest, findest du 2 Gewinner.",Scheduled
Prompt 76,2026-03-03,prompt,X/Twitter,Du bist ein Content-Strategist. Liefere 5 Hooks im Stil Framework. Zielgruppe: Berater. Thema: Thread System. Jede Ausgabe muss einen klaren Nutzen enthalten.,Scheduled
Prompt 77,2026-03-03,prompt,X/Twitter,"Erstelle eine Liste von 12 Objection-Replies fuer Solo-Creator. Verwende Kurz und direkt. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Scheduled
Prompt 78,2026-03-03,prompt,X/Twitter,Du bist ein Content-Strategist. Liefere 5 Objection-Replies im Stil Beispiel + Analyse. Zielgruppe: Agenturen. Thema: Hook-Datenbank. Jede Ausgabe muss einen klaren Nutzen enthalten.,Scheduled
