id,title,goal,prompt,example
11,Repurposing: Lead-Magnet-Ideen,"Schnelle, strukturierte Outputs fuer Agenturen.","Erstelle eine Liste von 10 Lead-Magnet-Ideen fuer Agenturen. Verwende Schritt-fuer-Schritt. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.'
12,Story Framework: DM-Templates,"Schnelle, strukturierte Outputs fuer B2B Marketer.","Erstelle eine Liste von 7 DM-Templates fuer B2B Marketer. Verwende Template. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
13,Objection Handling: DM-Templates,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Analysiere Tweet Engine und generiere 9 DM-Templates. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
14,Use-Case Mapping: Lead-Magnet-Ideen,"Schnelle, strukturierte Outputs fuer SaaS Founder.","Erstelle eine Liste von 7 Lead-Magnet-Ideen fuer SaaS Founder. Verwende Checkliste. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
15,Audience Research: Tweet-Varianten,"Schnelle, strukturierte Outputs fuer Berater.","Erstelle eine Liste von 7 Tweet-Varianten fuer Berater. Verwende Pro/Contra. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: Offer: 'Content Factory in a Box'
16,Angle Finder: CTA-Ideen,"Schnelle, strukturierte Outputs fuer Agenturen.",Erstelle 9 CTA-Ideen fuer Agenturen. Nutze Framework und halte jede Ausgabe unter 16 Woertern. Kontext: Tweet Engine. Gib die Ausgabe nummeriert aus.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
17,Benefit Stacking: CTA-Ideen,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Erstelle 10 CTA-Ideen fuer Solo-Creator. Nutze Template und halte jede Ausgabe unter 20 Woertern. Kontext: Hook-Datenbank. Gib die Ausgabe nummeriert aus.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
18,Case Study: Tweet-Varianten,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Du bist ein Content-Strategist. Liefere 5 Tweet-Varianten im Stil Checkliste. Zielgruppe: Solo-Creator. Thema: Thread System. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
19,SaaS Content: Use-Cases,"Schnelle, strukturierte Outputs fuer Solo-Creator.","Erstelle eine Liste von 5 Use-Cases fuer Solo-Creator. Verwende Template. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
20,Creator Newsletter: CTA-Ideen,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Analysiere Creator Stack und generiere 7 CTA-Ideen. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
21,Sales Page: Use-Cases,"Schnelle, strukturierte Outputs fuer Coaches.","Erstelle eine Liste von 12 Use-Cases fuer Coaches. Verwende Beispiel + Analyse. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
22,DM Scripts: Offer-Statements,"Schnelle, strukturierte Outputs fuer SaaS Founder.","Erstelle eine Liste von 5 Offer-Statements fuer SaaS Founder. Verwende Pro/Contra. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
23,Kurzvideo Skript: Offer-Statements,"Schnelle, strukturierte Outputs fuer SaaS Founder.",Du bist ein Content-Strategist. Liefere 10 Offer-Statements im Stil Schritt-fuer-Schritt. Zielgruppe: SaaS Founder. Thema: Creator Stack. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: Offer: 'Content Factory in a Box'
24,FAQ Engine: Content-Ideen,"Schnelle, strukturierte Outputs fuer SaaS Founder.",Analysiere Thread System und generiere 5 Content-Ideen. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
25,Landing Page: Thread-Outlines,"Schnelle, strukturierte Outputs fuer B2B Marketer.",Erstelle 5 Thread-Outlines fuer B2B Marketer. Nutze Pro/Contra und halte jede Ausgabe unter 24 Woertern. Kontext: Hook-Datenbank. Gib die Ausgabe nummeriert aus.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
26,Hook Generator: Content-Titel,"Schnelle, strukturierte Outputs fuer Berater.",Du bist ein Content-Strategist. Liefere 12 Content-Titel im Stil Beispiel + Analyse. Zielgruppe: Berater. Thema: Hook-Datenbank. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
27,Thread Outline: Content-Titel,"Schnelle, strukturierte Outputs fuer Agenturen.",Analysiere Hook-Datenbank und generiere 7 Content-Titel. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.'
28,Tweet Variations: Thread-Outlines,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Du bist ein Content-Strategist. Liefere 10 Thread-Outlines im Stil Checkliste. Zielgruppe: Solo-Creator. Thema: Prompt Pack. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: Offer: 'Content Factory in a Box'
29,CTA Builder: Hooks,"Schnelle, strukturierte Outputs fuer B2B Marketer.",Analysiere Prompt Pack und generiere 5 Hooks. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
30,Content Audit: Tweet-Varianten,"Schnelle, strukturierte Outputs fuer Berater.",Erstelle 5 Tweet-Varianten fuer Berater. Nutze Schritt-fuer-Schritt und halte jede Ausgabe unter 20 Woertern. Kontext: Creator Stack. Gib die Ausgabe nummeriert aus.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
31,Positionierung: Lead-Magnet-Ideen,"Schnelle, strukturierte Outputs fuer Coaches.",Analysiere Thread System und generiere 7 Lead-Magnet-Ideen. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
32,Offer Design: Tweet-Varianten,"Schnelle, strukturierte Outputs fuer SaaS Founder.",Erstelle 12 Tweet-Varianten fuer SaaS Founder. Nutze Kurz und direkt und halte jede Ausgabe unter 24 Woertern. Kontext: Thread System. Gib die Ausgabe nummeriert aus.,Beispiel: Offer: 'Content Factory in a Box'
33,Pricing: Content-Titel,"Schnelle, strukturierte Outputs fuer Coaches.",Erstelle 7 Content-Titel fuer Coaches. Nutze Pro/Contra und halte jede Ausgabe unter 20 Woertern. Kontext: Hook-Datenbank. Gib die Ausgabe nummeriert aus.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
34,Lead Magnet: Pricing-Optionen,"Schnelle, strukturierte Outputs fuer Berater.","Erstelle eine Liste von 7 Pricing-Optionen fuer Berater. Verwende Checkliste. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
35,Content Kalender: Thread-Outlines,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Erstelle 9 Thread-Outlines fuer Solo-Creator. Nutze Pro/Contra und halte jede Ausgabe unter 16 Woertern. Kontext: Hook-Datenbank. Gib die Ausgabe nummeriert aus.,Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.'
36,Repurposing: Hooks,"Schnelle, strukturierte Outputs fuer Agenturen.",Analysiere Thread System und generiere 7 Hooks. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
37,Story Framework: Content-Titel,"Schnelle, strukturierte Outputs fuer Agenturen.",Analysiere Tweet Engine und generiere 5 Content-Titel. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
38,Objection Handling: Pricing-Optionen,"Schnelle, strukturierte Outputs fuer Coaches.",Du bist ein Content-Strategist. Liefere 10 Pricing-Optionen im Stil Framework. Zielgruppe: Coaches. Thema: Monetarisierungs-Funnel. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
39,Use-Case Mapping: Thread-Outlines,"Schnelle, strukturierte Outputs fuer B2B Marketer.",Du bist ein Content-Strategist. Liefere 9 Thread-Outlines im Stil Pro/Contra. Zielgruppe: B2B Marketer. Thema: Content Factory. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
40,Audience Research: Content-Ideen,"Schnelle, strukturierte Outputs fuer Agenturen.",Erstelle 12 Content-Ideen fuer Agenturen. Nutze Beispiel + Analyse und halte jede Ausgabe unter 16 Woertern. Kontext: Tweet Engine. Gib die Ausgabe nummeriert aus.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
41,Angle Finder: CTA-Ideen,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Erstelle 7 CTA-Ideen fuer Solo-Creator. Nutze Schritt-fuer-Schritt und halte jede Ausgabe unter 20 Woertern. Kontext: Hook-Datenbank. Gib die Ausgabe nummeriert aus.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
42,Benefit Stacking: DM-Templates,"Schnelle, strukturierte Outputs fuer B2B Marketer.","Erstelle eine Liste von 7 DM-Templates fuer B2B Marketer. Verwende Framework. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
43,Case Study: DM-Templates,"Schnelle, strukturierte Outputs fuer SaaS Founder.","Erstelle eine Liste von 7 DM-Templates fuer SaaS Founder. Verwende Pro/Contra. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
44,SaaS Content: Content-Titel,"Schnelle, strukturierte Outputs fuer SaaS Founder.","Erstelle eine Liste von 12 Content-Titel fuer SaaS Founder. Verwende Pro/Contra. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
45,Creator Newsletter: Content-Titel,"Schnelle, strukturierte Outputs fuer SaaS Founder.",Erstelle 5 Content-Titel fuer SaaS Founder. Nutze Kurz und direkt und halte jede Ausgabe unter 16 Woertern. Kontext: Creator Stack. Gib die Ausgabe nummeriert aus.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
46,Sales Page: Offer-Statements,"Schnelle, strukturierte Outputs fuer Coaches.",Analysiere Prompt Pack und generiere 10 Offer-Statements. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
47,DM Scripts: Content-Ideen,"Schnelle, strukturierte Outputs fuer B2B Marketer.",Erstelle 5 Content-Ideen fuer B2B Marketer. Nutze Schritt-fuer-Schritt und halte jede Ausgabe unter 20 Woertern. Kontext: Creator Stack. Gib die Ausgabe nummeriert aus.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
48,Kurzvideo Skript: Use-Cases,"Schnelle, strukturierte Outputs fuer Berater.",Analysiere Monetarisierungs-Funnel und generiere 10 Use-Cases. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
49,FAQ Engine: Content-Titel,"Schnelle, strukturierte Outputs fuer Coaches.","Erstelle eine Liste von 5 Content-Titel fuer Coaches. Verwende Schritt-fuer-Schritt. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.'
50,Landing Page: Tweet-Varianten,"Schnelle, strukturierte Outputs fuer Coaches.",Erstelle 12 Tweet-Varianten fuer Coaches. Nutze Pro/Contra und halte jede Ausgabe unter 24 Woertern. Kontext: AI-Agenten Workflow. Gib die Ausgabe nummeriert aus.,Beispiel: Offer: 'Content Factory in a Box'
51,Hook Generator: Use-Cases,"Schnelle, strukturierte Outputs fuer SaaS Founder.",Erstelle 12 Use-Cases fuer SaaS Founder. Nutze Beispiel + Analyse und halte jede Ausgabe unter 18 Woertern. Kontext: Hook-Datenbank. Gib die Ausgabe nummeriert aus.,Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.'
52,Thread Outline: Thread-Outlines,"Schnelle, strukturierte Outputs fuer Berater.",Erstelle 7 Thread-Outlines fuer Berater. Nutze Template und halte jede Ausgabe unter 16 Woertern. Kontext: AI-Agenten Workflow. Gib die Ausgabe nummeriert aus.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
53,Tweet Variations: Use-Cases,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Analysiere Prompt Pack und generiere 12 Use-Cases. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: Offer: 'Content Factory in a Box'
54,CTA Builder: Pricing-Optionen,"Schnelle, strukturierte Outputs fuer Coaches.","Erstelle eine Liste von 7 Pricing-Optionen fuer Coaches. Verwende Pro/Contra. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
55,Content Audit: CTA-Ideen,"Schnelle, strukturierte Outputs fuer B2B Marketer.",Erstelle 5 CTA-Ideen fuer B2B Marketer. Nutze Kurz und direkt und halte jede Ausgabe unter 18 Woertern. Kontext: Prompt Pack. Gib die Ausgabe nummeriert aus.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
56,Positionierung: Lead-Magnet-Ideen,"Schnelle, strukturierte Outputs fuer Berater.",Du bist ein Content-Strategist. Liefere 9 Lead-Magnet-Ideen im Stil Pro/Contra. Zielgruppe: Berater. Thema: Creator Stack. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
57,Offer Design: Thread-Outlines,"Schnelle, strukturierte Outputs fuer Coaches.",Du bist ein Content-Strategist. Liefere 5 Thread-Outlines im Stil Pro/Contra. Zielgruppe: Coaches. Thema: Thread System. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
58,Pricing: Content-Ideen,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Analysiere Monetarisierungs-Funnel und generiere 10 Content-Ideen. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
59,Lead Magnet: DM-Templates,"Schnelle, strukturierte Outputs fuer Coaches.",Analysiere Monetarisierungs-Funnel und generiere 5 DM-Templates. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.'
60,Content Kalender: Tweet-Varianten,"Schnelle, strukturierte Outputs fuer SaaS Founder.",Analysiere Hook-Datenbank und generiere 9 Tweet-Varianten. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.'
61,Repurposing: Hooks,"Schnelle, strukturierte Outputs fuer B2B Marketer.",Erstelle 10 Hooks fuer B2B Marketer. Nutze Beispiel + Analyse und halte jede Ausgabe unter 20 Woertern. Kontext: Hook-Datenbank. Gib die Ausgabe nummeriert aus.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
62,Story Framework: CTA-Ideen,"Schnelle, strukturierte Outputs fuer Berater.",Analysiere Creator Stack und generiere 9 CTA-Ideen. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.'
63,Objection Handling: Tweet-Varianten,"Schnelle, strukturierte Outputs fuer B2B Marketer.",Erstelle 12 Tweet-Varianten fuer B2B Marketer. Nutze Beispiel + Analyse und halte jede Ausgabe unter 16 Woertern. Kontext: Prompt Pack. Gib die Ausgabe nummeriert aus.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
64,Use-Case Mapping: Offer-Statements,"Schnelle, strukturierte Outputs fuer SaaS Founder.",Analysiere Monetarisierungs-Funnel und generiere 7 Offer-Statements. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.'
65,Audience Research: Content-Ideen,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Du bist ein Content-Strategist. Liefere 7 Content-Ideen im Stil Schritt-fuer-Schritt. Zielgruppe: Solo-Creator. Thema: AI-Agenten Workflow. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
66,Angle Finder: Use-Cases,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Du bist ein Content-Strategist. Liefere 5 Use-Cases im Stil Template. Zielgruppe: Solo-Creator. Thema: Hook-Datenbank. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
67,Benefit Stacking: Thread-Outlines,"Schnelle, strukturierte Outputs fuer SaaS Founder.",Du bist ein Content-Strategist. Liefere 12 Thread-Outlines im Stil Template. Zielgruppe: SaaS Founder. Thema: Content Factory. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.'
68,Case Study: Content-Titel,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Du bist ein Content-Strategist. Liefere 5 Content-Titel im Stil Pro/Contra. Zielgruppe: Solo-Creator. Thema: Monetarisierungs-Funnel. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
69,SaaS Content: Content-Ideen,"Schnelle, strukturierte Outputs fuer SaaS Founder.","Erstelle eine Liste von 10 Content-Ideen fuer SaaS Founder. Verwende Template. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: Offer: 'Content Factory in a Box'
70,Creator Newsletter: DM-Templates,"Schnelle, strukturierte Outputs fuer SaaS Founder.",Erstelle 9 DM-Templates fuer SaaS Founder. Nutze Pro/Contra und halte jede Ausgabe unter 16 Woertern. Kontext: Content Factory. Gib die Ausgabe nummeriert aus.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
71,Sales Page: Lead-Magnet-Ideen,"Schnelle, strukturierte Outputs fuer B2B Marketer.",Erstelle 12 Lead-Magnet-Ideen fuer B2B Marketer. Nutze Checkliste und halte jede Ausgabe unter 16 Woertern. Kontext: Content Factory. Gib die Ausgabe nummeriert aus.,Beispiel: Offer: 'Content Factory in a Box'
72,DM Scripts: Tweet-Varianten,"Schnelle, strukturierte Outputs fuer SaaS Founder.","Erstelle eine Liste von 7 Tweet-Varianten fuer SaaS Founder. Verwende Schritt-fuer-Schritt. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
73,Kurzvideo Skript: Lead-Magnet-Ideen,"Schnelle, strukturierte Outputs fuer Berater.",Analysiere Content Factory und generiere 9 Lead-Magnet-Ideen. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.'
74,FAQ Engine: DM-Templates,"Schnelle, strukturierte Outputs fuer SaaS Founder.","Erstelle eine Liste von 7 DM-Templates fuer SaaS Founder. Verwende Kurz und direkt. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
75,Landing Page: DM-Templates,"Schnelle, strukturierte Outputs fuer Berater.",Analysiere Hook-Datenbank und generiere 7 DM-Templates. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.'
76,Hook Generator: Objection-Replies,"Schnelle, strukturierte Outputs fuer Berater.","Erstelle eine Liste von 7 Objection-Replies fuer Berater. Verwende Schritt-fuer-Schritt. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.'
77,Thread Outline: Lead-Magnet-Ideen,"Schnelle, strukturierte Outputs fuer SaaS Founder.","Erstelle eine Liste von 5 Lead-Magnet-Ideen fuer SaaS Founder. Verwende Framework. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.'
78,Tweet Variations: DM-Templates,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Erstelle 9 DM-Templates fuer Solo-Creator. Nutze Template und halte jede Ausgabe unter 16 Woertern. Kontext: Thread System. Gib die Ausgabe nummeriert aus.,Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.'
79,CTA Builder: Thread-Outlines,"Schnelle, strukturierte Outputs fuer Coaches.",Analysiere Prompt Pack und generiere 9 Thread-Outlines. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.'
80,Content Audit: Content-Titel,"Schnelle, strukturierte Outputs fuer SaaS Founder.",Du bist ein Content-Strategist. Liefere 12 Content-Titel im Stil Framework. Zielgruppe: SaaS Founder. Thema: Hook-Datenbank. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
81,Positionierung: DM-Templates,"Schnelle, strukturierte Outputs fuer Agenturen.",Du bist ein Content-Strategist. Liefere 7 DM-Templates im Stil Beispiel + Analyse. Zielgruppe: Agenturen. Thema: Hook-Datenbank. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: Offer: 'Content Factory in a Box'
82,Offer Design: Content-Titel,"Schnelle, strukturierte Outputs fuer Agenturen.",Analysiere Prompt Pack und generiere 12 Content-Titel. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.'
83,Pricing: Use-Cases,"Schnelle, strukturierte Outputs fuer B2B Marketer.",Erstelle 7 Use-Cases fuer B2B Marketer. Nutze Kurz und direkt und halte jede Ausgabe unter 16 Woertern. Kontext: Thread System. Gib die Ausgabe nummeriert aus.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
84,Lead Magnet: Lead-Magnet-Ideen,"Schnelle, strukturierte Outputs fuer SaaS Founder.",Erstelle 12 Lead-Magnet-Ideen fuer SaaS Founder. Nutze Beispiel + Analyse und halte jede Ausgabe unter 18 Woertern. Kontext: Monetarisierungs-Funnel. Gib die Ausgabe nummeriert aus.,Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.'
85,Content Kalender: Thread-Outlines,"Schnelle, strukturierte Outputs fuer Berater.",Erstelle 10 Thread-Outlines fuer Berater. Nutze Kurz und direkt und halte jede Ausgabe unter 20 Woertern. Kontext: AI-Agenten Workflow. Gib die Ausgabe nummeriert aus.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
