id,title,goal,prompt,example
16,Angle Finder: Content-Titel,"Schnelle, strukturierte Outputs fuer B2B Marketer.",Erstelle 9 Content-Titel fuer B2B Marketer. Nutze Schritt-fuer-Schritt und halte jede Ausgabe unter 24 Woertern. Kontext: AI-Agenten Workflow. Gib die Ausgabe nummeriert aus.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
17,Benefit Stacking: DM-Templates,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Du bist ein Content-Strategist. Liefere 12 DM-Templates im Stil Framework. Zielgruppe: Solo-Creator. Thema: Content Factory. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
18,Case Study: Content-Ideen,"Schnelle, strukturierte Outputs fuer SaaS Founder.","Erstelle eine Liste von 9 Content-Ideen fuer SaaS Founder. Verwende Beispiel + Analyse. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
19,SaaS Content: CTA-Ideen,"Schnelle, strukturierte Outputs fuer SaaS Founder.","Baue 12 CTA-Ideen fuer SaaS Founder. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: AI-Agenten Workflow.",Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
20,Creator Newsletter: Thread-Outlines,"Schnelle, strukturierte Outputs fuer Solo-Creator.","Erstelle eine Liste von 12 Thread-Outlines fuer Solo-Creator. Verwende Framework. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
21,Sales Page: CTA-Ideen,"Schnelle, strukturierte Outputs fuer Coaches.",Analysiere Content Factory und generiere 10 CTA-Ideen. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: Offer: 'Content Factory in a Box'
22,DM Scripts: Lead-Magnet-Ideen,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Du bist ein Content-Strategist. Liefere 9 Lead-Magnet-Ideen im Stil Pro/Contra. Zielgruppe: Solo-Creator. Thema: Content Factory. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
23,Kurzvideo Skript: CTA-Ideen,"Schnelle, strukturierte Outputs fuer B2B Marketer.",Erstelle 12 CTA-Ideen fuer B2B Marketer. Nutze Schritt-fuer-Schritt und halte jede Ausgabe unter 18 Woertern. Kontext: Creator Stack. Gib die Ausgabe nummeriert aus.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
24,FAQ Engine: Pricing-Optionen,"Schnelle, strukturierte Outputs fuer Agenturen.","Baue 12 Pricing-Optionen fuer Agenturen. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Monetarisierungs-Funnel.",Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.'
25,Landing Page: DM-Templates,"Schnelle, strukturierte Outputs fuer Solo-Creator.","Baue 7 DM-Templates fuer Solo-Creator. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Creator Stack.",Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.'
26,Hook Generator: Use-Cases,"Schnelle, strukturierte Outputs fuer Berater.",Erstelle 12 Use-Cases fuer Berater. Nutze Pro/Contra und halte jede Ausgabe unter 24 Woertern. Kontext: Prompt Pack. Gib die Ausgabe nummeriert aus.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
27,Thread Outline: DM-Templates,"Schnelle, strukturierte Outputs fuer Berater.",Erstelle 5 DM-Templates fuer Berater. Nutze Framework und halte jede Ausgabe unter 20 Woertern. Kontext: AI-Agenten Workflow. Gib die Ausgabe nummeriert aus.,Beispiel: Offer: 'Content Factory in a Box'
28,Tweet Variations: Thread-Outlines,"Schnelle, strukturierte Outputs fuer Solo-Creator.","Baue 7 Thread-Outlines fuer Solo-Creator. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Monetarisierungs-Funnel.",Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
29,CTA Builder: Tweet-Varianten,"Schnelle, strukturierte Outputs fuer B2B Marketer.",Du bist ein Content-Strategist. Liefere 7 Tweet-Varianten im Stil Checkliste. Zielgruppe: B2B Marketer. Thema: Prompt Pack. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.'
30,Content Audit: Use-Cases,"Schnelle, strukturierte Outputs fuer B2B Marketer.",Erstelle 7 Use-Cases fuer B2B Marketer. Nutze Beispiel + Analyse und halte jede Ausgabe unter 16 Woertern. Kontext: Hook-Datenbank. Gib die Ausgabe nummeriert aus.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
31,Positionierung: Thread-Outlines,"Schnelle, strukturierte Outputs fuer B2B Marketer.","Baue 9 Thread-Outlines fuer B2B Marketer. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Hook-Datenbank.",Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
32,Offer Design: Tweet-Varianten,"Schnelle, strukturierte Outputs fuer Coaches.","Erstelle eine Liste von 9 Tweet-Varianten fuer Coaches. Verwende Beispiel + Analyse. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
33,Pricing: Pricing-Optionen,"Schnelle, strukturierte Outputs fuer Berater.",Analysiere AI-Agenten Workflow und generiere 12 Pricing-Optionen. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
34,Lead Magnet: DM-Templates,"Schnelle, strukturierte Outputs fuer Agenturen.","Erstelle eine Liste von 9 DM-Templates fuer Agenturen. Verwende Pro/Contra. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: Offer: 'Content Factory in a Box'
35,Content Kalender: Tweet-Varianten,"Schnelle, strukturierte Outputs fuer Berater.",Du bist ein Content-Strategist. Liefere 12 Tweet-Varianten im Stil Checkliste. Zielgruppe: Berater. Thema: Hook-Datenbank. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
36,Repurposing: DM-Templates,"Schnelle, strukturierte Outputs fuer B2B Marketer.","Baue 5 DM-Templates fuer B2B Marketer. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Monetarisierungs-Funnel.",Beispiel: Offer: 'Content Factory in a Box'
37,Story Framework: Hooks,"Schnelle, strukturierte Outputs fuer Berater.",Erstelle 5 Hooks fuer Berater. Nutze Template und halte jede Ausgabe unter 16 Woertern. Kontext: AI-Agenten Workflow. Gib die Ausgabe nummeriert aus.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
38,Objection Handling: Thread-Outlines,"Schnelle, strukturierte Outputs fuer Coaches.","Baue 5 Thread-Outlines fuer Coaches. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Thread System.",Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.'
39,Use-Case Mapping: Use-Cases,"Schnelle, strukturierte Outputs fuer Berater.","Erstelle eine Liste von 12 Use-Cases fuer Berater. Verwende Pro/Contra. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
40,Audience Research: Use-Cases,"Schnelle, strukturierte Outputs fuer Coaches.","Baue 12 Use-Cases fuer Coaches. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: AI-Agenten Workflow.",Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
41,Angle Finder: Hooks,"Schnelle, strukturierte Outputs fuer B2B Marketer.",Erstelle 12 Hooks fuer B2B Marketer. Nutze Beispiel + Analyse und halte jede Ausgabe unter 16 Woertern. Kontext: Prompt Pack. Gib die Ausgabe nummeriert aus.,Beispiel: Offer: 'Content Factory in a Box'
42,Benefit Stacking: DM-Templates,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Erstelle 12 DM-Templates fuer Solo-Creator. Nutze Template und halte jede Ausgabe unter 24 Woertern. Kontext: Creator Stack. Gib die Ausgabe nummeriert aus.,Beispiel: Offer: 'Content Factory in a Box'
43,Case Study: Objection-Replies,"Schnelle, strukturierte Outputs fuer SaaS Founder.","Erstelle eine Liste von 10 Objection-Replies fuer SaaS Founder. Verwende Template. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
44,SaaS Content: Thread-Outlines,"Schnelle, strukturierte Outputs fuer Berater.",Erstelle 10 Thread-Outlines fuer Berater. Nutze Pro/Contra und halte jede Ausgabe unter 20 Woertern. Kontext: Tweet Engine. Gib die Ausgabe nummeriert aus.,Beispiel: Offer: 'Content Factory in a Box'
45,Creator Newsletter: Content-Titel,"Schnelle, strukturierte Outputs fuer Berater.",Analysiere Content Factory und generiere 10 Content-Titel. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
46,Sales Page: Content-Ideen,"Schnelle, strukturierte Outputs fuer Agenturen.",Du bist ein Content-Strategist. Liefere 5 Content-Ideen im Stil Kurz und direkt. Zielgruppe: Agenturen. Thema: Prompt Pack. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.'
47,DM Scripts: Use-Cases,"Schnelle, strukturierte Outputs fuer Agenturen.",Analysiere Prompt Pack und generiere 10 Use-Cases. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
48,Kurzvideo Skript: Use-Cases,"Schnelle, strukturierte Outputs fuer Berater.",Du bist ein Content-Strategist. Liefere 9 Use-Cases im Stil Pro/Contra. Zielgruppe: Berater. Thema: Prompt Pack. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.'
49,FAQ Engine: Lead-Magnet-Ideen,"Schnelle, strukturierte Outputs fuer Agenturen.","Erstelle eine Liste von 10 Lead-Magnet-Ideen fuer Agenturen. Verwende Schritt-fuer-Schritt. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.'
50,Landing Page: DM-Templates,"Schnelle, strukturierte Outputs fuer B2B Marketer.","Erstelle eine Liste von 7 DM-Templates fuer B2B Marketer. Verwende Template. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
51,Hook Generator: DM-Templates,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Analysiere Tweet Engine und generiere 9 DM-Templates. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
52,Thread Outline: Lead-Magnet-Ideen,"Schnelle, strukturierte Outputs fuer SaaS Founder.","Baue 7 Lead-Magnet-Ideen fuer SaaS Founder. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Creator Stack.",Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
53,Tweet Variations: DM-Templates,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Erstelle 7 DM-Templates fuer Solo-Creator. Nutze Template und halte jede Ausgabe unter 18 Woertern. Kontext: Thread System. Gib die Ausgabe nummeriert aus.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
54,CTA Builder: CTA-Ideen,"Schnelle, strukturierte Outputs fuer Agenturen.",Erstelle 9 CTA-Ideen fuer Agenturen. Nutze Schritt-fuer-Schritt und halte jede Ausgabe unter 16 Woertern. Kontext: Tweet Engine. Gib die Ausgabe nummeriert aus.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
55,Content Audit: CTA-Ideen,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Erstelle 10 CTA-Ideen fuer Solo-Creator. Nutze Template und halte jede Ausgabe unter 20 Woertern. Kontext: Hook-Datenbank. Gib die Ausgabe nummeriert aus.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
56,Positionierung: Tweet-Varianten,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Du bist ein Content-Strategist. Liefere 5 Tweet-Varianten im Stil Checkliste. Zielgruppe: Solo-Creator. Thema: Thread System. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
57,Offer Design: Use-Cases,"Schnelle, strukturierte Outputs fuer Solo-Creator.","Erstelle eine Liste von 5 Use-Cases fuer Solo-Creator. Verwende Template. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
58,Pricing: CTA-Ideen,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Analysiere Creator Stack und generiere 7 CTA-Ideen. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
59,Lead Magnet: Use-Cases,"Schnelle, strukturierte Outputs fuer Coaches.","Erstelle eine Liste von 12 Use-Cases fuer Coaches. Verwende Beispiel + Analyse. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
60,Content Kalender: Offer-Statements,"Schnelle, strukturierte Outputs fuer SaaS Founder.","Erstelle eine Liste von 5 Offer-Statements fuer SaaS Founder. Verwende Pro/Contra. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
61,Repurposing: Offer-Statements,"Schnelle, strukturierte Outputs fuer SaaS Founder.",Du bist ein Content-Strategist. Liefere 10 Offer-Statements im Stil Schritt-fuer-Schritt. Zielgruppe: SaaS Founder. Thema: Creator Stack. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: Offer: 'Content Factory in a Box'
62,Story Framework: Content-Ideen,"Schnelle, strukturierte Outputs fuer SaaS Founder.","Baue 5 Content-Ideen fuer SaaS Founder. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Thread System.",Beispiel: Offer: 'Content Factory in a Box'
63,Objection Handling: Content-Titel,"Schnelle, strukturierte Outputs fuer Berater.",Erstelle 10 Content-Titel fuer Berater. Nutze Checkliste und halte jede Ausgabe unter 18 Woertern. Kontext: Prompt Pack. Gib die Ausgabe nummeriert aus.,Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.'
64,Use-Case Mapping: Lead-Magnet-Ideen,"Schnelle, strukturierte Outputs fuer Agenturen.",Du bist ein Content-Strategist. Liefere 10 Lead-Magnet-Ideen im Stil Checkliste. Zielgruppe: Agenturen. Thema: AI-Agenten Workflow. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
65,Audience Research: Content-Titel,"Schnelle, strukturierte Outputs fuer Agenturen.",Analysiere Hook-Datenbank und generiere 7 Content-Titel. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.'
66,Angle Finder: Thread-Outlines,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Du bist ein Content-Strategist. Liefere 10 Thread-Outlines im Stil Checkliste. Zielgruppe: Solo-Creator. Thema: Prompt Pack. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: Offer: 'Content Factory in a Box'
67,Benefit Stacking: Hooks,"Schnelle, strukturierte Outputs fuer B2B Marketer.",Analysiere Prompt Pack und generiere 5 Hooks. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
68,Case Study: Tweet-Varianten,"Schnelle, strukturierte Outputs fuer Berater.",Erstelle 5 Tweet-Varianten fuer Berater. Nutze Schritt-fuer-Schritt und halte jede Ausgabe unter 20 Woertern. Kontext: Creator Stack. Gib die Ausgabe nummeriert aus.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
69,SaaS Content: Lead-Magnet-Ideen,"Schnelle, strukturierte Outputs fuer Coaches.","Baue 7 Lead-Magnet-Ideen fuer Coaches. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Thread System.",Beispiel: Offer: 'Content Factory in a Box'
70,Creator Newsletter: CTA-Ideen,"Schnelle, strukturierte Outputs fuer Solo-Creator.","Baue 9 CTA-Ideen fuer Solo-Creator. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Hook-Datenbank.",Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
71,Sales Page: Lead-Magnet-Ideen,"Schnelle, strukturierte Outputs fuer B2B Marketer.",Analysiere Monetarisierungs-Funnel und generiere 10 Lead-Magnet-Ideen. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.'
72,DM Scripts: Content-Titel,"Schnelle, strukturierte Outputs fuer Berater.","Erstelle eine Liste von 12 Content-Titel fuer Berater. Verwende Pro/Contra. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
73,Kurzvideo Skript: Objection-Replies,"Schnelle, strukturierte Outputs fuer Berater.",Erstelle 7 Objection-Replies fuer Berater. Nutze Kurz und direkt und halte jede Ausgabe unter 24 Woertern. Kontext: Creator Stack. Gib die Ausgabe nummeriert aus.,Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.'
74,FAQ Engine: Thread-Outlines,"Schnelle, strukturierte Outputs fuer Berater.",Du bist ein Content-Strategist. Liefere 5 Thread-Outlines im Stil Framework. Zielgruppe: Berater. Thema: Monetarisierungs-Funnel. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
75,Landing Page: DM-Templates,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Analysiere Creator Stack und generiere 7 DM-Templates. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
76,Hook Generator: Content-Titel,"Schnelle, strukturierte Outputs fuer Agenturen.",Analysiere Tweet Engine und generiere 5 Content-Titel. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
77,Thread Outline: Pricing-Optionen,"Schnelle, strukturierte Outputs fuer Coaches.",Du bist ein Content-Strategist. Liefere 10 Pricing-Optionen im Stil Framework. Zielgruppe: Coaches. Thema: Monetarisierungs-Funnel. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
78,Tweet Variations: Thread-Outlines,"Schnelle, strukturierte Outputs fuer B2B Marketer.","Baue 9 Thread-Outlines fuer B2B Marketer. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Content Factory.",Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
79,CTA Builder: Content-Ideen,"Schnelle, strukturierte Outputs fuer Agenturen.",Erstelle 12 Content-Ideen fuer Agenturen. Nutze Beispiel + Analyse und halte jede Ausgabe unter 16 Woertern. Kontext: Tweet Engine. Gib die Ausgabe nummeriert aus.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
80,Content Audit: CTA-Ideen,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Erstelle 7 CTA-Ideen fuer Solo-Creator. Nutze Schritt-fuer-Schritt und halte jede Ausgabe unter 20 Woertern. Kontext: Hook-Datenbank. Gib die Ausgabe nummeriert aus.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
81,Positionierung: DM-Templates,"Schnelle, strukturierte Outputs fuer B2B Marketer.","Erstelle eine Liste von 7 DM-Templates fuer B2B Marketer. Verwende Framework. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
82,Offer Design: DM-Templates,"Schnelle, strukturierte Outputs fuer SaaS Founder.","Erstelle eine Liste von 7 DM-Templates fuer SaaS Founder. Verwende Pro/Contra. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
83,Pricing: Content-Titel,"Schnelle, strukturierte Outputs fuer SaaS Founder.","Erstelle eine Liste von 12 Content-Titel fuer SaaS Founder. Verwende Pro/Contra. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
84,Lead Magnet: Content-Titel,"Schnelle, strukturierte Outputs fuer SaaS Founder.",Erstelle 5 Content-Titel fuer SaaS Founder. Nutze Kurz und direkt und halte jede Ausgabe unter 16 Woertern. Kontext: Creator Stack. Gib die Ausgabe nummeriert aus.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
85,Content Kalender: Offer-Statements,"Schnelle, strukturierte Outputs fuer Coaches.",Analysiere Prompt Pack und generiere 10 Offer-Statements. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
86,Repurposing: Content-Ideen,"Schnelle, strukturierte Outputs fuer B2B Marketer.",Erstelle 5 Content-Ideen fuer B2B Marketer. Nutze Schritt-fuer-Schritt und halte jede Ausgabe unter 20 Woertern. Kontext: Creator Stack. Gib die Ausgabe nummeriert aus.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
87,Story Framework: Use-Cases,"Schnelle, strukturierte Outputs fuer Berater.",Analysiere Monetarisierungs-Funnel und generiere 10 Use-Cases. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
88,Objection Handling: Content-Titel,"Schnelle, strukturierte Outputs fuer Coaches.","Baue 5 Content-Titel fuer Coaches. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Hook-Datenbank.",Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
